Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District
05/23/2020 05:35:00 PM,024XX W DIVISION ST,Нападение,SIMPLE,УЛИЦА,false,true,14
04/02/2020 12:40:00 PM,010XX N SPRINGFIELD AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,11,
01/02/2021 12:00:00 PM,013XX W 13TH ST,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,ДРУГОЕ НАРУШЕНИЕ,CHA Квартира,false,true,12,
05/27/2020 08:09:00 AM,063XX S INGLESIDE AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY TELEPHONE,Квартира,false,true,3,
01/02/2020 01:30:00 PM,001XX W MONROE ST,Кража,TO PROPERTY,HOTEL/MOTEL,false,false,1,
01/03/2020 02:45:00 PM,008XX N LECLAIRE AVE,Кража,TO PROPERTY,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,15,
01/25/2020 11:35:00 PM,022XX W DEVON AVE,Кража,TO PROPERTY,Квартира,false,false,24,
11/22/2020 08:30:00 PM,073XX S BENNETT AVE,Ограбление,AGGRAVATED VEHICULAR HIJACKING,УЛИЦА,false,false,3,
03/06/2020 06:19:00 PM,079XX S LAFAYETTE AVE,Кража,TO PROPERTY,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,true,false,6,
02/27/2020 02:25:00 PM,082XX W GREGORY ST,Кража со взломом,FORCIBLE ENTRY,РЕЗИДЕНЦИЯ,false,false,16,
12/18/2020 04:00:00 PM,058XX N WAYNE AVE,Кража,FROM BUILDING,Другое,false,false,20,
11/04/2020 12:01:00 AM,010XX N ROCKWELL ST,ДРУГОЕ НАРУШЕНИЕ,Другое VEHICLE OFFENSE,УЛИЦА,false,true,12,
09/12/2020 06:00:00 PM,066XX S TROY ST,Кража,TO VEHICLE,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,8,
03/04/2020 06:05:00 PM,085XX S COTTAGE GROVE AVE,Кража,RETAIL THEFT,УНИВЕРМАГ,true,false,6,
01/02/2021 10:00:00 AM,048XX N KIMBALL AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,17,
12/23/2020 01:40:00 PM,083XX S STEWART AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,true,false,6,
08/23/2020 08:00:00 PM,019XX W 23RD ST,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY TELEPHONE,УЛИЦА,false,false,10,
08/03/2020 03:00:00 PM,015XX E 75TH ST,Кража,$500 AND UNDER,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,3,
02/13/2021 08:11:00 PM,117XX S INDIANA AVE,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,true,true,5,
09/26/2020 03:15:00 PM,063XX S GREEN ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,Гараж,false,false,7,
01/05/2020 01:40:00 AM,020XX W TOUHY AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,true,true,24,
07/09/2020 04:00:00 PM,015XX W RANDOLPH ST,Кража,$500 AND UNDER,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,12,
11/12/2020 01:00:00 AM,077XX S CLAREMONT AVE,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,SEX ASSLT OF CHILD BY FAM MBR,РЕЗИДЕНЦИЯ,false,false,8,
07/29/2020 02:00:00 PM,008XX S CICERO AVE,Ограбление,STRONGARM - NO WEAPON,Тротуар,false,false,15,
07/19/2020 09:26:00 PM,109XX S DOTY AVE E,Кража,OVER $500,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,false,false,5,
01/14/2021 09:00:00 PM,100XX S ABERDEEN ST,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,РЕЗИДЕНЦИЯ,false,false,22,
12/29/2020 08:30:00 AM,010XX N LAVERGNE AVE,Кража,TO PROPERTY,Квартира,false,true,15,
03/03/2020 01:48:00 AM,014XX W MONTROSE AVE,Кража со взломом,FORCIBLE ENTRY,РЕСТОРАН,false,false,19,
03/12/2020 12:30:00 PM,011XX S CLARK ST,Кража,$500 AND UNDER,УНИВЕРМАГ,false,false,1,
01/25/2020 01:00:00 PM,005XX S KOSTNER AVE,НАРКОТИКИ,POSS: CANNABIS 30GMS OR LESS,Гараж,true,false,11,
01/16/2021 02:28:00 PM,072XX S PERRY AVE,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ PORCH/HALLWAY,false,false,7,
05/28/2020 12:40:00 AM,053XX S MELVINA AVE,Кража,TO PROPERTY,ГАРАЖ,false,false,8,
09/22/2020 02:32:00 AM,076XX S HALSTED ST,Нападение,TO LAND,БЕНЗОКОЛОНКА,true,false,6,
11/03/2020 07:00:00 AM,032XX S KARLOV AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,РЕЗИДЕНЦИЯ,false,false,10,
10/13/2020 09:55:00 PM,031XX W HARRISON ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,Гараж,false,false,11,
08/22/2020 04:00:00 PM,089XX S BUFFALO AVE,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,CHILD ABANDONMENT,SCHOOL, PUBLIC, СТРОЙКА,false,false,4
02/19/2020 05:00:00 PM,069XX S YALE AVE,Нападение,SIMPLE,Квартира,false,false,7
07/11/2020 04:00:00 AM,054XX S WINCHESTER AVE,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,9
01/15/2021 02:00:00 PM,080XX S COLFAX AVE,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,4
06/02/2020 09:00:00 PM,043XX S INDIANA AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,РЕЗИДЕНЦИЯ,false,false,2
02/17/2020 02:00:00 AM,082XX S STATE ST,УГОН АВТОМОБИЛЯ,COUNTERFEITING DOCUMENT,БЕНЗОКОЛОНКА,false,false,6
10/08/2020 07:27:00 PM,095XX S GREEN ST,Драка,AGGRAVATED: HANDGUN,УЛИЦА,false,false,22
07/17/2020 02:40:00 PM,026XX N LINDER AVE,Драка,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,25
08/03/2020 08:00:00 AM,021XX N STAVE ST,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,РЕЗИДЕНЦИЯ,false,false,14
01/31/2021 09:00:00 PM,062XX N MAGNOLIA AVE,Кража со взломом,UNLAWFUL ENTRY,РЕЗИДЕНЦИЯ,false,false,24
08/25/2020 01:00:00 AM,024XX W PENSACOLA AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,РЕЗИДЕНЦИЯ,false,false,19
04/09/2020 10:38:00 PM,021XX W GRACE ST,Драка,SIMPLE,TAVERN/LIQUOR STORE,true,false,19
03/11/2020 07:59:00 PM,052XX W POLK ST,Кража,TO VEHICLE,УЛИЦА,false,false,15
10/25/2020 10:35:00 PM,090XX S ABERDEEN ST,Нападение,SIMPLE,РЕЗИДЕНЦИЯ,false,true,22
10/24/2020 01:00:00 PM,038XX N AVERS AVE,Кража,CRIMINAL DEFACEMENT,ГАРАЖ,false,false,17
07/19/2020 02:30:00 AM,012XX S SAWYER AVE,Кража,TO PROPERTY,Другое,false,false,10
02/27/2021 07:00:00 PM,019XX W 19TH ST,Нападение,SIMPLE,Квартира,false,true,12
02/23/2020 03:00:00 PM,0000X E CHICAGO AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,18
02/05/2020 06:00:00 AM,064XX S WESTERN AVE,Ограбление,ARMED: HANDGUN,Тротуар,false,false,8
08/29/2020 03:19:00 PM,007XX N MONTICELLO AVE,НАРКОТИКИ,POSS: CRACK,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,true,false,11
12/28/2020 10:25:00 AM,071XX S JEFFERY BLVD,Нападение,SIMPLE,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,3
01/28/2021 05:30:00 PM,047XX N CENTRAL PARK AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,17
10/06/2020 07:30:00 PM,003XX N LEAVITT ST,Кража,OVER $500,УЛИЦА,false,false,12
08/09/2020 09:30:00 PM,017XX N MONITOR AVE,Кража,TO VEHICLE,УЛИЦА,false,false,25
08/24/2020 05:55:00 PM,044XX S INDIANA AVE,Кража,TO VEHICLE,УЛИЦА,false,true,2
01/30/2020 01:37:00 PM,091XX S STEWART AVE,Кража,$500 AND UNDER,Гараж,true,false,6
02/04/2021 09:00:00 PM,006XX W HARRISON ST,Кража,$500 AND UNDER,Другое,false,false,1
09/12/2020 01:15:00 AM,013XX W ESTES AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,24
09/29/2020 02:40:00 PM,018XX W FULLERTON AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,true,false,19
11/09/2020 06:10:00 PM,035XX S WOOD ST,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,9
08/03/2020 06:18:00 PM,010XX W DIVERSEY PKWY,ДРУГОЕ НАРУШЕНИЕ,VIOLATE ORDER OF PROTECTION,ATHLETIC CLUB,false,false,19
07/28/2020 02:00:00 AM,058XX S WELLS ST,Драка,SIMPLE,УЛИЦА,false,false,7
02/25/2020 03:27:47 PM,035XX W CHICAGO AVE,НАРКОТИКИ,POSS: HEROIN(WHITE),Квартира,true,false,11
08/28/2020 10:47:00 PM,122XX S LOWE AVE,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,true,5
09/05/2020 12:20:00 AM,022XX E 70TH ST,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,3
03/08/2020 02:45:00 PM,021XX N LONG AVE,НАРУШЕНИЕ ОБЩЕСТВЕННОГО ПОРЯДКА,RECKLESS CONDUCT,, PUBLIC, СТРОЙКА,true,false,25,
06/24/2020 06:05:00 PM,002XX W GARFIELD BLVD,Драка,PRO EMP HANDS NO/MIN INJURY,РЕСТОРАН,false,false,9,
09/23/2020 09:00:00 AM,001XX W MAPLE ST,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,18,
03/12/2020 04:00:00 PM,011XX N CHRISTIANA AVE,Драка,SIMPLE,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,11,
10/04/2020 11:40:00 PM,002XX W 91ST ST,Кража,TO VEHICLE,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,6,
12/29/2020 10:40:00 PM,026XX W ROSEMONT AVE,НАРКОТИКИ,POSS: CANNABIS 30GMS OR LESS,УЛИЦА,true,false,24,
12/12/2020 11:38:00 PM,061XX S KIMBARK AVE,Нападение,SIMPLE,Другое,false,true,3,
06/13/2020 08:30:00 AM,082XX S LANGLEY AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,6,
10/09/2020 03:29:00 PM,016XX S HARDING AVE,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,false,true,10,
05/03/2020 11:33:00 PM,026XX W 23RD PL,Драка,DOMESTIC BATTERY SIMPLE,Квартира,true,true,10,
01/16/2020 11:00:00 PM,080XX S SOUTH SHORE DR,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,4,
05/29/2020 03:00:00 PM,049XX W POTOMAC AVE,Кража,TO VEHICLE,ALLEY,false,false,25,
04/24/2020 07:45:00 PM,033XX S THROOP ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ PORCH/HALLWAY,false,true,9,
01/01/2020 04:25:00 AM,030XX W CULLERTON ST,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,10,
02/05/2021 05:45:00 AM,018XX W SUPERIOR ST,Ограбление,STRONGARM - NO WEAPON,УЛИЦА,false,false,12,
01/18/2021 08:00:00 PM,019XX W OHIO ST,Кража,$500 AND UNDER,Квартира,false,false,12,
09/18/2020 12:01:00 AM,021XX N SHEFFIELD AVE,Кража,OVER $500,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,18,
07/02/2020 11:00:00 PM,040XX W DEVON AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,Гараж,false,false,17,
09/19/2020 08:15:00 PM,057XX S THROOP ST,НАРУШЕНИЕ ОБЩЕСТВЕННОГО ПОРЯДКА,RECKLESS CONDUCT,УЛИЦА,true,false,7,
01/03/2021 04:00:00 PM,076XX S CICERO AVE,Нападение,SIMPLE,РЕСТОРАН,false,false,8,
08/05/2020 02:40:00 PM,118XX S LONGWOOD DR,Кража,$500 AND UNDER,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,22,
08/06/2020 12:01:00 AM,069XX S OGLESBY AVE,Кража,TO PROPERTY,Другое,false,false,3,
07/21/2020 07:00:00 AM,072XX N DAMEN AVE,Кража,TO VEHICLE,УЛИЦА,false,false,24,
11/17/2020 07:30:00 PM,045XX N CALIFORNIA AVE,Нападение,TO VEHICLE,УЛИЦА,false,false,17,
08/04/2020 04:00:00 PM,061XX S WOLCOTT AVE,Кража,FROM BUILDING,SCHOOL, PUBLIC, СТРОЙКА,false,false,7
01/11/2020 01:05:00 AM,083XX S HERMITAGE AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,6
01/24/2020 01:55:00 AM,006XX E 69TH ST,Драка,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,CHA Квартира,true,false,3
04/03/2020 01:40:00 AM,013XX W BELLE PLAINE AVE,УГОН АВТОМОБИЛЯ,ILLEGAL USE CASH CARD,РЕЗИДЕНЦИЯ,false,false,19
09/09/2020 08:11:00 PM,111XX S WENTWORTH AVE,Драка,SIMPLE,УЛИЦА,true,false,5
09/23/2020 08:53:00 AM,039XX W GLADYS AVE,НАРКОТИКИ,ATTEMPT POSSESSION НАРКОТИКИ,Тротуар,true,false,11
10/21/2020 09:30:00 PM,003XX S STATE ST,Кража,FROM BUILDING,РЕСТОРАН,false,false,1
01/27/2021 09:00:00 AM,081XX S ELLIS AVE,Кража со взломом,FORCIBLE ENTRY,РЕЗИДЕНЦИЯ,false,false,6
03/27/2020 03:00:00 PM,094XX S HALSTED ST,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,false,false,22
02/14/2021 10:15:00 PM,012XX N HARDING AVE,НАРКОТИКИ,POSS: CRACK,УЛИЦА,true,false,25
01/31/2021 05:05:00 AM,051XX W CHICAGO AVE,Ограбление,STRONGARM - NO WEAPON,CTA BUS,false,false,15
02/21/2020 03:30:00 AM,076XX S EMERALD AVE,Драка,AGGRAVATED:KNIFE/CUTTING INSTR,РЕЗИДЕНЦИЯ,false,true,6
10/13/2020 12:30:00 PM,006XX W CORNELIA AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,РЕЗИДЕНЦИЯ,false,false,19
06/26/2020 10:43:00 PM,034XX W DICKENS AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,true,true,14
01/26/2021 08:06:00 AM,028XX S KILDARE AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,10
08/15/2020 07:30:00 PM,012XX W 31ST ST,Кража,TO VEHICLE,УЛИЦА,false,false,9
01/05/2020 07:00:00 PM,027XX W SUPERIOR ST,Кража,$500 AND UNDER,УЛИЦА,false,false,12
08/22/2020 03:00:00 PM,102XX S BENSLEY AVE,Кража,OVER $500,РЕЗИДЕНЦИЯ,false,true,4
10/12/2020 11:30:00 AM,038XX S KEDZIE AVE,Кража,FROM BUILDING,Квартира,false,true,9
08/24/2020 03:01:00 PM,126XX S HALSTED ST,Ограбление,ARMED: HANDGUN,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,5
05/14/2020 12:00:00 PM,0000X W 95TH ST,Нападение,AGGRAVATED: HANDGUN,HIGHWAY/EXPRESSWAY,true,false,6
05/12/2020 10:45:00 PM,006XX N LOCKWOOD AVE,GAMBLING,GAME/DICE,Тротуар,true,false,15
12/03/2020 10:30:00 PM,036XX E 118TH ST,Кража,TO PROPERTY,УНИВЕРМАГ,false,false,4
04/02/2020 10:00:00 AM,040XX W 61ST ST,Драка,AGGRAVATED: Другое FIREARM,ALLEY,false,false,8
02/23/2020 10:10:00 PM,067XX S WESTERN AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,УЛИЦА,true,false,8
02/22/2021 11:00:00 AM,005XX W NORTH AVE,Кража,OVER $500,Другое,false,false,18
10/26/2020 10:00:00 AM,056XX W CORCORAN PL,Нападение,TO LAND,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,true,false,15
02/24/2020 07:00:00 PM,021XX S LUMBER ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,12
03/03/2021 10:30:00 AM,011XX W FULTON MARKET,Драка,SIMPLE,УЛИЦА,false,false,12
10/05/2020 09:00:00 AM,130XX S CHAMPLAIN AVE,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,5
08/16/2020 12:00:00 AM,013XX N AUSTIN BLVD,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,РЕЗИДЕНЦИЯ,false,false,25
07/16/2020 08:04:00 PM,015XX S CENTRAL PARK AVE,Драка,AGGRAVATED: HANDGUN,Тротуар,false,false,10
01/05/2021 10:15:00 AM,007XX E 47TH ST,Кража,TO VEHICLE,Гараж,false,false,2
09/25/2020 11:02:00 AM,067XX S STONY ISLAND AVE,Нападение,SIMPLE,РЕСТОРАН,false,false,3
10/04/2020 06:10:00 PM,029XX N CLARK ST,Кража,OVER $500,УЛИЦА,false,false,19
05/31/2020 10:00:00 AM,033XX W FILLMORE ST,НАРКОТИКИ,POSS: CANNABIS MORE THAN 30GMS,POLICE FACILITY/VEH PARKING LOT,true,false,11
09/12/2020 01:30:00 PM,055XX W GLADYS AVE,Кража,TO VEHICLE,ГАРАЖ,false,false,15
08/04/2020 01:42:00 PM,023XX W JACKSON BLVD,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,РЕЗИДЕНЦИЯ,false,false,12
08/25/2020 08:30:00 AM,102XX S CRANDON AVE,Драка,DOMESTIC BATTERY SIMPLE,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),true,true,4
02/24/2021 10:15:00 PM,051XX S LOCKWOOD AVE,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,false,8
05/26/2020 06:30:00 PM,010XX N ST LOUIS AVE,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,true,true,11
04/14/2020 10:00:00 AM,006XX N CENTRAL AVE,Кража,$500 AND UNDER,Квартира,false,true,15
07/29/2020 10:50:00 PM,006XX S HOYNE AVE,Кража,TO VEHICLE,УЛИЦА,false,false,12
09/29/2020 11:33:00 PM,001XX E 111TH ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,5
03/10/2020 10:50:00 AM,034XX W CHICAGO AVE,НАРКОТИКИ,POSS: HEROIN(WHITE),ALLEY,true,false,11
02/20/2020 12:20:00 PM,053XX W HURON ST,Драка,SIMPLE,Тротуар,false,false,15
12/03/2020 10:00:00 AM,066XX S WOODLAWN AVE,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT $300 AND UNDER,Квартира,false,false,3
09/16/2020 05:00:00 PM,023XX N GREENVIEW AVE,Кража,TO PROPERTY,CONSTRUCTION SITE,false,false,18
04/12/2020 10:00:00 PM,004XX E NORTH WATER ST,Кража,TO VEHICLE,УЛИЦА,false,false,18
08/28/2020 09:04:00 PM,010XX S INDEPENDENCE BLVD,Драка,AGGRAVATED: HANDGUN,Тротуар,false,false,11
07/02/2020 05:04:00 PM,006XX W 63RD ST,Кража,RETAIL THEFT,Аптека,true,false,7
04/01/2020 03:00:00 PM,066XX W GEORGE ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,25
01/16/2020 03:42:00 PM,044XX W NORTH AVE,Ограбление,ARMED: HANDGUN,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,25
08/22/2020 01:45:00 AM,033XX N HARDING AVE,Нападение,TO РЕЗИДЕНЦИЯ,РЕЗИДЕНЦИЯ,true,true,17
01/29/2020 02:50:00 PM,083XX S ASHLAND AVE,Ограбление,ARMED: HANDGUN,Гараж,false,false,6
09/11/2020 01:59:00 PM,078XX S STEWART AVE,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,6
05/16/2020 01:00:00 PM,016XX W 59TH ST,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,7
04/14/2020 09:30:00 AM,032XX W WILSON AVE,УГОН АВТОМОБИЛЯ,THEFT/RECOVERY: AUTOMOBILE,УЛИЦА,false,false,17
01/07/2021 10:00:00 PM,055XX S THROOP ST,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,false,false,7
09/02/2020 01:40:00 PM,001XX N STATE ST,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,1
07/31/2020 08:49:00 PM,026XX W LE MOYNE ST,Кража,TO CITY OF CHICAGO PROPERTY,УЛИЦА,false,false,14
10/03/2020 09:00:00 PM,020XX W 69TH ST,Кража,TO VEHICLE,УЛИЦА,false,false,7
09/20/2020 08:30:00 PM,0000X W 112TH ST,Кража,TO VEHICLE,ПОДЪЕЗД - ЖИЛОЙ,false,false,5
07/11/2020 11:00:00 AM,063XX S MOZART ST,Ограбление,ARMED:KNIFE/CUTTING INSTRUMENT,УЛИЦА,false,false,8
02/19/2020 06:00:00 PM,051XX N MOODY AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,16
01/07/2020 11:20:00 PM,026XX W LITHUANIAN PLAZA CT,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,true,true,8
04/09/2020 12:01:00 AM,004XX N ST LOUIS AVE,Кража,TO VEHICLE,УЛИЦА,false,false,11
03/01/2020 09:25:00 AM,010XX N SPRINGFIELD AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,true,true,11
05/06/2020 10:00:00 PM,015XX E 62ND ST,Ограбление,ARMED: HANDGUN,Квартира,false,false,3
10/17/2020 10:22:00 PM,066XX S WENTWORTH AVE,CONCEALED CARRY LICENSE VIOLATION,Другое,БЕНЗОКОЛОНКА,true,false,7
02/09/2021 08:00:00 PM,014XX W WEBSTER AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,18
05/26/2020 02:00:00 PM,067XX S JEFFERY BLVD,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ PORCH/HALLWAY,false,false,3
10/27/2020 09:30:00 AM,039XX S CALIFORNIA AVE,Нападение,PRO EMP HANDS NO/MIN INJURY,JAIL / LOCK-UP FACILITY,true,false,9
05/31/2020 01:30:00 AM,089XX S MAY ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,22
10/30/2020 01:20:00 PM,033XX W 61ST PL,Драка,SIMPLE,УЛИЦА,false,false,8
11/19/2020 09:00:00 AM,057XX N MAPLEWOOD AVE,Кража со взломом,FORCIBLE ENTRY,ГАРАЖ,false,false,20
01/06/2020 08:01:00 AM,083XX S STEWART AVE,Кража,TO VEHICLE,Гараж,false,true,6
03/18/2020 04:30:00 PM,024XX W 83RD ST,Нападение,AGGRAVATED: Другое DANG WEAPON,УЛИЦА,true,false,8
01/17/2021 07:00:00 PM,042XX W CERMAK RD,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,10
10/31/2020 02:18:00 AM,059XX S WOLCOTT AVE,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,true,7
02/04/2020 05:32:00 PM,011XX N CLEVELAND AVE,Нападение,AGGRAVATED: HANDGUN,Тротуар,false,false,18
03/30/2020 08:14:34 PM,014XX S KENNETH AVE,НАРКОТИКИ,POSS: HALLUCINOGENS,РЕЗИДЕНЦИЯ,true,false,10
07/21/2020 01:00:00 PM,072XX S SOUTH SHORE DR,УГОН АВТОМОБИЛЯ,FRAUD OR CONFIDENCE GAME,Другое,false,false,3
11/27/2020 02:15:00 PM,080XX S MARSHFIELD AVE,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,false,true,6
08/22/2020 02:00:00 PM,083XX S HERMITAGE AVE,Нападение,SIMPLE,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,6
04/05/2020 12:01:00 AM,077XX S KEDZIE AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,8
08/12/2020 02:00:00 PM,012XX W LELAND AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,УЛИЦА,false,false,19
08/20/2020 07:28:00 AM,087XX S MAY ST,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,false,22
02/27/2021 04:15:00 PM,053XX S CALUMET AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,2
02/29/2020 05:45:00 PM,078XX S WABASH AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,6
12/11/2020 07:45:00 PM,116XX S LOWE AVE,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,5
12/29/2020 06:20:00 AM,097XX S CHAPPEL AVE,Кража,TO PROPERTY,РЕЗИДЕНЦИЯ,false,true,4
09/14/2020 03:00:00 AM,071XX N SHERIDAN RD,Кража,$500 AND UNDER,Гараж,false,false,24
05/30/2020 09:00:00 AM,116XX S VINCENNES AVE,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,ENDANGERING LIFE/HEALTH CHILD,РЕЗИДЕНЦИЯ,false,true,22
03/05/2020 08:00:00 PM,099XX S PARNELL AVE,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,ДРУГОЕ НАРУШЕНИЕ,УЛИЦА,false,false,22
01/07/2020 04:00:00 AM,030XX W LEXINGTON ST,Кража,TO PROPERTY,Квартира,false,false,11
10/01/2020 08:15:00 PM,019XX S KEDZIE AVE,Драка,SIMPLE,CTA STATION,false,false,10
06/24/2020 03:00:00 AM,005XX W ENGLEWOOD AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,7
06/26/2020 11:11:00 AM,002XX W 109TH PL,НАРКОТИКИ,POSS: HEROIN(WHITE),УЛИЦА,true,false,5
11/29/2020 01:00:00 PM,0000X S STATE ST,УГОН АВТОМОБИЛЯ,ILLEGAL USE CASH CARD,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,1
07/10/2020 03:00:00 AM,029XX S WELLS ST,Кража,TO VEHICLE,УЛИЦА,false,false,9
09/29/2020 08:00:00 AM,075XX N PAULINA ST,Кража,$500 AND UNDER,ПЛАТФОРМА,false,false,24
12/04/2020 04:50:00 PM,046XX S VINCENNES AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,2
